slug,url
david-welch,https://signal.nfx.com/investors/david-welch
david-williams,https://signal.nfx.com/investors/david-williams
david-willington,https://signal.nfx.com/investors/david-willington
david-yoo,https://signal.nfx.com/investors/david-yoo
david-york,https://signal.nfx.com/investors/david-york
david-zyer,https://signal.nfx.com/investors/david-zyer
davide-ottolini,https://signal.nfx.com/investors/davide-ottolini
davis-okoth,https://signal.nfx.com/investors/davis-okoth
davis-roos,https://signal.nfx.com/investors/davis-roos
dawn-nguyen,https://signal.nfx.com/investors/dawn-nguyen
de-havia-stewart,https://signal.nfx.com/investors/de-havia-stewart
de-zhang,https://signal.nfx.com/investors/de-zhang
deadra-williams,https://signal.nfx.com/investors/deadra-williams
dean-berger,https://signal.nfx.com/investors/dean-berger
dean-estrada,https://signal.nfx.com/investors/dean-estrada
dean-mai,https://signal.nfx.com/investors/dean-mai
deborah-jackson,https://signal.nfx.com/investors/deborah-jackson
deborah-okenla,https://signal.nfx.com/investors/deborah-okenla
deena-shakir,https://signal.nfx.com/investors/deena-shakir
deepak-anchala-v-s,https://signal.nfx.com/investors/deepak-anchala-v-s
deepak-dhayatker,https://signal.nfx.com/investors/deepak-dhayatker
deepak-jagannathan,https://signal.nfx.com/investors/deepak-jagannathan
deepak-jeevan-kumar,https://signal.nfx.com/investors/deepak-jeevan-kumar
deepak-mishra,https://signal.nfx.com/investors/deepak-mishra
deepak-prasad,https://signal.nfx.com/investors/deepak-prasad
dekel-persi,https://signal.nfx.com/investors/dekel-persi
dela-adedze,https://signal.nfx.com/investors/dela-adedze
delcho-ivanov,https://signal.nfx.com/investors/delcho-ivanov
delian-asparouhov,https://signal.nfx.com/investors/delian-asparouhov
denali-tietjen,https://signal.nfx.com/investors/denali-tietjen
denisia-pereira,https://signal.nfx.com/investors/denisia-pereira
denmark-west,https://signal.nfx.com/investors/denmark-west
dennis-cheng-nakamura,https://signal.nfx.com/investors/dennis-cheng-nakamura
dennis-grimm,https://signal.nfx.com/investors/dennis-grimm
dennis-mou,https://signal.nfx.com/investors/dennis-mou
dennis-weidner,https://signal.nfx.com/investors/dennis-weidner
denys-kurylenko,https://signal.nfx.com/investors/denys-kurylenko
derek-barclay,https://signal.nfx.com/investors/derek-barclay
derek-boyse,https://signal.nfx.com/investors/derek-boyse
derek-van-brussel,https://signal.nfx.com/investors/derek-van-brussel
desmond-fleming,https://signal.nfx.com/investors/desmond-fleming
devang-mehta,https://signal.nfx.com/investors/devang-mehta
devin-kohli,https://signal.nfx.com/investors/devin-kohli
devin-o-reilly,https://signal.nfx.com/investors/devin-o-reilly
devon-kirk,https://signal.nfx.com/investors/devon-kirk
